3.65	80.99	278.16	302.47	542.12
3.97	81.43	295.55	270.98	562.34
3.21	85.27	305.24	158.17	572.82
2.74	88.67	306.18	149.97	574.29
3.23	86.33	304.62	166.11	566.85
3.02	87.06	304.02	180.55	550.00
3.82	83.49	299.87	285.51	522.51
4.27	78.94	292.62	287.19	482.28
3.21	85.80	295.04	165.92	426.03
2.74	90.66	307.72	92.80	348.97
2.29	92.38	305.85	67.17	245.60
1.36	94.43	309.52	26.75	117.64
0.98	95.79	312.76	4.26	14.75
0.62	97.09	316.23	0.00	0.00
0.22	98.12	316.04	0.00	0.00
0.21	98.71	316.38	0.00	0.00
0.01	99.13	316.71	0.00	0.00
0.11	99.40	316.92	0.00	0.00
0.14	99.46	310.57	0.00	0.00
0.24	99.20	299.95	0.00	0.00
0.19	98.98	294.16	0.00	0.00
0.14	98.92	303.03	0.00	0.00
0.22	98.98	307.08	0.00	0.00
0.19	98.87	302.32	0.00	0.00
0.22	98.82	290.55	0.00	0.00
0.16	97.47	290.94	0.00	0.00
0.29	97.71	301.41	0.00	0.00
0.17	98.12	303.91	0.00	0.00
0.26	97.38	303.60	0.00	0.00
0.44	96.47	304.73	0.00	0.00
0.35	97.24	308.49	0.00	0.00
0.16	97.95	312.86	0.00	0.00
0.07	98.65	314.59	0.00	0.00
0.05	98.91	312.93	0.00	0.00
-0.04	94.98	306.34	0.00	0.00
-0.12	95.01	303.33	0.00	0.00
-0.07	91.95	301.87	0.00	0.00
-0.35	98.32	299.43	0.00	0.00
-0.59	98.92	295.40	0.00	0.00
-0.70	98.91	292.84	0.00	0.00
-0.87	98.78	284.19	0.00	0.00
-1.18	99.29	270.99	0.00	0.00
-1.29	98.87	262.31	21.59	81.54
-0.80	96.42	283.06	46.81	212.20
-0.35	94.35	276.58	82.25	324.09
0.36	90.61	275.78	121.19	408.45
-0.01	90.85	295.08	114.99	470.33
-0.14	90.76	301.16	130.28	514.96
0.01	90.48	305.34	115.34	546.06
1.35	85.21	295.54	265.93	566.07
2.39	80.83	284.39	357.50	576.45
2.32	80.96	286.99	360.16	577.91
1.94	77.99	270.72	309.46	570.58
2.11	76.23	284.10	365.34	553.93
2.77	72.85	276.61	315.99	526.78
2.32	72.50	285.69	262.24	487.05
1.28	85.10	285.10	123.40	431.51
0.34	87.13	296.99	81.06	355.42
1.08	82.69	260.70	129.61	253.16
0.23	90.02	266.04	44.43	125.41
-0.20	94.25	271.78	20.20	17.75
-0.79	96.26	259.25	0.36	0.00
-1.41	97.70	260.63	0.00	0.00
-1.56	98.17	261.25	0.00	0.00
-2.19	98.92	220.43	0.00	0.00
-2.84	99.93	221.58	0.00	0.00
-3.08	100.00	214.58	0.00	0.00
-3.34	100.00	212.21	0.00	0.00
-3.73	100.00	211.04	0.00	0.00
-4.23	100.00	210.39	0.00	0.00
-4.36	100.00	214.01	0.00	0.00
-4.28	100.00	222.56	0.00	0.00
-4.09	99.93	242.53	0.00	0.00
-4.11	99.78	246.45	0.00	0.00
-4.06	99.93	241.95	0.00	0.00
-4.12	99.70	242.41	0.00	0.00
-4.05	99.63	255.03	0.00	0.00
-3.97	99.56	234.66	0.00	0.00
-4.29	99.70	221.59	0.00	0.00
-4.34	99.92	215.42	0.00	0.00
-4.11	100.00	221.58	0.00	0.00
-4.80	100.00	211.01	0.00	0.00
-4.89	100.00	207.09	0.00	0.00
-5.07	99.92	208.50	0.00	0.00
-5.17	99.92	220.21	0.00	0.00
-4.83	99.46	262.48	0.00	0.00
-4.89	98.20	254.73	0.00	0.00
-5.22	98.47	243.07	0.00	0.00
-5.11	98.41	256.62	0.00	0.00
-4.73	98.92	258.92	0.00	0.00
-4.57	98.09	240.20	17.81	88.39
-4.61	97.39	209.30	23.41	219.70
-3.51	94.06	207.60	36.15	330.60
-2.97	92.42	212.99	67.32	413.98
1.03	82.58	225.38	343.01	475.13
3.37	72.46	223.56	200	519.24
-0.10	87.71	221.73	184.12	550.00
1.01	79.16	232.21	395.43	569.79
1.91	76.00	250.31	443.68	580.06
0.93	77.14	277.69	305.91	581.53
0.84	78.09	275.90	310.47	574.28
2.29	68.71	258.40	524.20	557.84
1.66	72.90	268.71	370.01	531.01
0.44	77.41	274.09	181.96	491.78
0.31	76.00	259.63	153.62	436.94
0.14	79.72	248.32	133.90	361.80
0.07	81.13	253.36	94.73	260.68
-0.38	88.36	268.40	55.61	133.27
-0.73	90.54	280.93	24.70	21.17
-1.29	95.03	285.03	0.00	0.00
-1.70	96.79	268.48	0.00	0.00
-1.98	97.73	269.30	0.00	0.00
-2.03	98.10	284.95	0.00	0.00
-1.83	97.51	288.68	0.00	0.00
-2.04	97.78	288.14	0.00	0.00
-2.00	97.10	291.72	0.00	0.00
-2.06	96.70	291.04	0.00	0.00
-2.04	96.90	289.32	0.00	0.00
-2.22	97.37	286.31	0.00	0.00
-2.15	97.77	283.75	0.00	0.00
-2.37	98.18	279.42	0.00	0.00
-2.37	98.31	281.66	0.00	0.00
-2.34	98.51	279.82	0.00	0.00
-2.34	99.09	271.35	0.00	0.00
-2.60	99.61	256.18	0.00	0.00
-2.56	99.48	281.64	0.00	0.00
-2.31	98.32	294.11	0.00	0.00
-2.20	98.08	296.68	0.00	0.00
-2.00	97.54	298.70	0.00	0.00
-1.98	97.29	300.03	0.00	0.00
-1.85	96.82	299.48	0.00	0.00
-1.79	97.77	298.76	0.00	0.00
-1.95	98.37	299.36	0.00	0.00
-1.85	98.32	300.82	0.00	0.00
-1.72	98.46	300.52	0.00	0.00
-1.65	98.53	301.83	0.00	0.00
-1.75	98.70	302.22	0.00	0.00
-1.76	98.95	302.64	0.00	7.37
-1.67	98.95	302.93	0.00	95.51
-1.60	99.14	303.80	7.76	227.28
-1.53	99.09	303.59	21.53	337.14
-1.33	99.16	304.65	39.25	419.53
-0.77	97.55	303.92	95.66	479.93
0.05	94.04	302.50	156.93	523.52
0.21	93.35	303.12	203.52	553.93
1.46	88.27	298.34	205.56	573.50
1.47	87.30	301.93	188.23	583.67
1.55	86.90	304.24	202.08	585.12
0.98	89.01	305.92	148.01	577.97
0.89	90.20	305.63	157.26	561.72
1.36	88.34	307.73	147.65	535.21
